Level,Contribution,Zeny,MAXHP,ATK,MATK,DEF,MDEF,CashCoupons,Remainder
1,34,410,10,0.4,0.4,0.2,0.2,0,410
2,34,1240,10,0.4,0.4,0.2,0.2,0,1240
3,34,2080,10,0.4,0.4,0.2,0.2,1,80
4,34,2910,10,0.4,0.4,0.2,0.2,1,910
5,34,3740,10,0.4,0.4,0.2,0.2,1,1740
6,34,4570,10,0.4,0.4,0.2,0.2,2,570
7,34,5410,10,0.4,0.4,0.2,0.2,2,1410
8,34,6240,10,0.4,0.4,0.2,0.2,3,240
9,34,7070,10,0.4,0.4,0.2,0.2,3,1070
10,34,7900,10,0.4,0.4,0.2,0.2,3,1900
11,36,1240,18,0.7,0.7,0.4,0.4,0,1240
12,36,3740,18,0.7,0.7,0.4,0.4,1,1740
13,36,6240,18,0.7,0.7,0.4,0.4,3,240
14,36,8740,18,0.7,0.7,0.4,0.4,4,740
15,36,11230,18,0.7,0.7,0.4,0.4,5,1230
16,36,13730,18,0.7,0.7,0.4,0.4,6,1730
17,36,16230,18,0.7,0.7,0.4,0.4,8,230
18,36,18730,18,0.7,0.7,0.4,0.4,9,730
19,36,21230,18,0.7,0.7,0.4,0.4,10,1230
20,36,23720,18,0.7,0.7,0.4,0.4,11,1720
21,42,2490,28,1.1,1.1,0.5,0.5,1,490
22,42,7490,28,1.1,1.1,0.5,0.5,3,1490
23,42,12480,28,1.1,1.1,0.5,0.5,6,480
24,42,17480,28,1.1,1.1,0.5,0.5,8,1480
25,42,22470,28,1.1,1.1,0.5,0.5,11,470
26,42,27470,28,1.1,1.1,0.5,0.5,13,1470
27,42,32470,28,1.1,1.1,0.5,0.5,16,470
28,42,37460,28,1.1,1.1,0.5,0.5,18,1460
29,42,42460,28,1.1,1.1,0.5,0.5,21,460
30,42,47450,28,1.1,1.1,0.5,0.5,23,1450
31,80,4160,38,1.5,1.5,0.7,0.7,2,160
32,80,12480,38,1.5,1.5,0.7,0.7,6,480
33,80,20810,38,1.5,1.5,0.7,0.7,10,810
34,80,29130,38,1.5,1.5,0.7,0.7,14,1130
35,80,37460,38,1.5,1.5,0.7,0.7,18,1460
36,80,45790,38,1.5,1.5,0.7,0.7,22,1790
37,80,54110,38,1.5,1.5,0.7,0.7,27,110
38,80,62440,38,1.5,1.5,0.7,0.7,31,440
39,80,70760,38,1.5,1.5,0.7,0.7,35,760
40,80,79090,38,1.5,1.5,0.7,0.7,39,1090
41,152,6240,45,1.8,1.8,0.9,0.9,3,240
